; MissableObjects for hide/show indexes in flag wMissableObjects
0x00    HS_PALLET_TOWN_OAK
0x4A8	EVENT_BEAT_ROUTE_14_TRAINER_7
0x4A9	EVENT_BEAT_ROUTE_14_TRAINER_8
0x4AA	EVENT_BEAT_ROUTE_14_TRAINER_9

; Route 15 events
 	const_next $4B0
0x4B0	EVENT_GOT_EXP_ALL
0x4B1	EVENT_BEAT_ROUTE_15_TRAINER_0
0x4B2	EVENT_BEAT_ROUTE_15_TRAINER_1
0x4B3	EVENT_BEAT_ROUTE_15_TRAINER_2
0x4B4	EVENT_BEAT_ROUTE_15_TRAINER_3
0x4B5	EVENT_BEAT_ROUTE_15_TRAINER_4
0x4B6	EVENT_BEAT_ROUTE_15_TRAINER_5
0x4B7	EVENT_BEAT_ROUTE_15_TRAINER_6
0x4B8	EVENT_BEAT_ROUTE_15_TRAINER_7
0x4B9	EVENT_BEAT_ROUTE_15_TRAINER_8
0x4BA	EVENT_BEAT_ROUTE_15_TRAINER_9

; Route 16 events
 	const_next $4C0
0x4C0	const_skip
0x4C1	EVENT_BEAT_ROUTE_16_TRAINER_0
0x4C2	EVENT_BEAT_ROUTE_16_TRAINER_1
0x4C3	EVENT_BEAT_ROUTE_16_TRAINER_2
0x4C4	EVENT_BEAT_ROUTE_16_TRAINER_3
0x4C5	EVENT_BEAT_ROUTE_16_TRAINER_4
0x4C6	EVENT_BEAT_ROUTE_16_TRAINER_5
0x4C7	const_skip
0x4C8	EVENT_FIGHT_ROUTE16_SNORLAX
0x4C9	EVENT_BEAT_ROUTE16_SNORLAX
0x4CA	const_skip 4
0x4CE	EVENT_GOT_HM02
0x4CF	EVENT_RESCUED_MR_FUJI

; Route 17 events
 	const_next $4D0
0x4D0	const_skip
0x4D1	EVENT_BEAT_ROUTE_17_TRAINER_0
0x4D2	EVENT_BEAT_ROUTE_17_TRAINER_1
0x4D3	EVENT_BEAT_ROUTE_17_TRAINER_2
0x4D4	EVENT_BEAT_ROUTE_17_TRAINER_3
0x4D5	EVENT_BEAT_ROUTE_17_TRAINER_4
0x4D6	EVENT_BEAT_ROUTE_17_TRAINER_5
0x4D7	EVENT_BEAT_ROUTE_17_TRAINER_6
0x4D8	EVENT_BEAT_ROUTE_17_TRAINER_7
0x4D9	EVENT_BEAT_ROUTE_17_TRAINER_8
0x4DA	EVENT_BEAT_ROUTE_17_TRAINER_9

; Route 18 events
 	const_next $4E0
0x4E0	const_skip
0x4E1	EVENT_BEAT_ROUTE_18_TRAINER_0
0x4E2	EVENT_BEAT_ROUTE_18_TRAINER_1
0x4E3	EVENT_BEAT_ROUTE_18_TRAINER_2

; Route 19 events
 	const_next $4F0
0x4F0	const_skip
0x4F1	EVENT_BEAT_ROUTE_19_TRAINER_0
0x4F2	EVENT_BEAT_ROUTE_19_TRAINER_1
0x4F3	EVENT_BEAT_ROUTE_19_TRAINER_2
0x4F4	EVENT_BEAT_ROUTE_19_TRAINER_3
0x4F5	EVENT_BEAT_ROUTE_19_TRAINER_4
0x4F6	EVENT_BEAT_ROUTE_19_TRAINER_5
0x4F7	EVENT_BEAT_ROUTE_19_TRAINER_6
0x4F8	EVENT_BEAT_ROUTE_19_TRAINER_7
0x4F9	EVENT_BEAT_ROUTE_19_TRAINER_8
0x4FA	EVENT_BEAT_ROUTE_19_TRAINER_9

; Route 20 events
 	const_next $500
0x500	EVENT_IN_SEAFOAM_ISLANDS
0x501	EVENT_BEAT_ROUTE_20_TRAINER_0
0x502	EVENT_BEAT_ROUTE_20_TRAINER_1
0x503	EVENT_BEAT_ROUTE_20_TRAINER_2
0x504	EVENT_BEAT_ROUTE_20_TRAINER_3
0x505	EVENT_BEAT_ROUTE_20_TRAINER_4
0x506	EVENT_BEAT_ROUTE_20_TRAINER_5
0x507	EVENT_BEAT_ROUTE_20_TRAINER_6
0x508	EVENT_BEAT_ROUTE_20_TRAINER_7
0x509	EVENT_BEAT_ROUTE_20_TRAINER_8
0x50A	EVENT_BEAT_ROUTE_20_TRAINER_9
0x50B	const_skip 3
0x50E	EVENT_SEAFOAM1_BOULDER1_DOWN_HOLE
0x50F	EVENT_SEAFOAM1_BOULDER2_DOWN_HOLE

; Route 21 events
 	const_next $510
0x510	const_skip
0x511	EVENT_BEAT_ROUTE_21_TRAINER_0
0x512	EVENT_BEAT_ROUTE_21_TRAINER_1
0x513	EVENT_BEAT_ROUTE_21_TRAINER_2
0x514	EVENT_BEAT_ROUTE_21_TRAINER_3
0x515	EVENT_BEAT_ROUTE_21_TRAINER_4
0x516	EVENT_BEAT_ROUTE_21_TRAINER_5
0x517	EVENT_BEAT_ROUTE_21_TRAINER_6
0x518	EVENT_BEAT_ROUTE_21_TRAINER_7
0x519	EVENT_BEAT_ROUTE_21_TRAINER_8

; Route 22 events
 	const_next $520
0x520	EVENT_1ST_ROUTE22_RIVAL_BATTLE
0x521	EVENT_2ND_ROUTE22_RIVAL_BATTLE
0x522	const_skip 3
0x525	EVENT_BEAT_ROUTE22_RIVAL_1ST_BATTLE
0x526	EVENT_BEAT_ROUTE22_RIVAL_2ND_BATTLE
0x527	EVENT_ROUTE22_RIVAL_WANTS_BATTLE

; Route 23 events
 	const_next $530
0x530	EVENT_PASSED_CASCADEBADGE_CHECK
0x531	EVENT_PASSED_THUNDERBADGE_CHECK
0x532	EVENT_PASSED_RAINBOWBADGE_CHECK
0x533	EVENT_PASSED_SOULBADGE_CHECK
0x534	EVENT_PASSED_MARSHBADGE_CHECK
0x535	EVENT_PASSED_VOLCANOBADGE_CHECK
0x536	EVENT_PASSED_EARTHBADGE_CHECK
0x537	const_skip
0x538	EVENT_VICTORY_ROAD_2_BOULDER_ON_SWITCH1
0x539	EVENT_BEAT_VICTORY_ROAD_2_TRAINER_0
0x53A	EVENT_BEAT_VICTORY_ROAD_2_TRAINER_1
0x53B	EVENT_BEAT_VICTORY_ROAD_2_TRAINER_2
0x53C	EVENT_BEAT_VICTORY_ROAD_2_TRAINER_3
0x53D	EVENT_BEAT_VICTORY_ROAD_2_TRAINER_4
0x53E	EVENT_BEAT_MOLTRES
0x53F	EVENT_VICTORY_ROAD_2_BOULDER_ON_SWITCH2

; Route 24 events
 	const_next $540
0x540	EVENT_GOT_NUGGET
0x541	EVENT_BEAT_ROUTE24_ROCKET
0x542	EVENT_BEAT_ROUTE_24_TRAINER_0
0x543	EVENT_BEAT_ROUTE_24_TRAINER_1
0x544	EVENT_BEAT_ROUTE_24_TRAINER_2
0x545	EVENT_BEAT_ROUTE_24_TRAINER_3
0x546	EVENT_BEAT_ROUTE_24_TRAINER_4
0x547	EVENT_BEAT_ROUTE_24_TRAINER_5
0x548	const_skip
0x549	EVENT_NUGGET_REWARD_AVAILABLE

; Route 25 events
 	const_next $550
0x550	EVENT_MET_BILL
0x551	EVENT_BEAT_ROUTE_25_TRAINER_0
0x552	EVENT_BEAT_ROUTE_25_TRAINER_1
0x553	EVENT_BEAT_ROUTE_25_TRAINER_2
0x554	EVENT_BEAT_ROUTE_25_TRAINER_3
0x555	EVENT_BEAT_ROUTE_25_TRAINER_4
0x556	EVENT_BEAT_ROUTE_25_TRAINER_5
0x557	EVENT_BEAT_ROUTE_25_TRAINER_6
0x558	EVENT_BEAT_ROUTE_25_TRAINER_7
0x559	EVENT_BEAT_ROUTE_25_TRAINER_8
0x55A	const_skip
0x55B	EVENT_USED_CELL_SEPARATOR_ON_BILL
0x55C	EVENT_GOT_SS_TICKET
0x55D	EVENT_MET_BILL_2
0x55E	EVENT_BILL_SAID_USE_CELL_SEPARATOR
0x55F	EVENT_LEFT_BILLS_HOUSE_AFTER_HELPING

; Viridian Forest events
 	const_next $560
0x560	const_skip 2
0x562	EVENT_BEAT_VIRIDIAN_FOREST_TRAINER_0
0x563	EVENT_BEAT_VIRIDIAN_FOREST_TRAINER_1
0x564	EVENT_BEAT_VIRIDIAN_FOREST_TRAINER_2

; Mt. Moon events
 	const_next $570
0x570	const_skip
0x571	EVENT_BEAT_MT_MOON_1_TRAINER_0
0x572	EVENT_BEAT_MT_MOON_1_TRAINER_1
0x573	EVENT_BEAT_MT_MOON_1_TRAINER_2
0x574	EVENT_BEAT_MT_MOON_1_TRAINER_3
0x575	EVENT_BEAT_MT_MOON_1_TRAINER_4
0x576	EVENT_BEAT_MT_MOON_1_TRAINER_5
0x577	EVENT_BEAT_MT_MOON_1_TRAINER_6
0x578	const_skip
0x579	EVENT_BEAT_MT_MOON_EXIT_SUPER_NERD
0x57A	EVENT_BEAT_MT_MOON_3_TRAINER_0
0x57B	EVENT_BEAT_MT_MOON_3_TRAINER_1
0x57C	EVENT_BEAT_MT_MOON_3_TRAINER_2
0x57D	EVENT_BEAT_MT_MOON_3_TRAINER_3
0x57E	EVENT_GOT_DOME_FOSSIL
0x57F	EVENT_GOT_HELIX_FOSSIL

; S.S. Anne events
 	const_next $5C0
0x5C0	const_skip 4
0x5C4	EVENT_BEAT_SS_ANNE_5_TRAINER_0
0x5C5	EVENT_BEAT_SS_ANNE_5_TRAINER_1
0x5C6	const_skip 26
0x5E0	EVENT_GOT_HM01
0x5E1	EVENT_RUBBED_CAPTAINS_BACK
0x5E2	EVENT_SS_ANNE_LEFT
0x5E3	EVENT_WALKED_PAST_GUARD_AFTER_SS_ANNE_LEFT
0x5E4	EVENT_STARTED_WALKING_OUT_OF_DOCK
0x5E5	EVENT_WALKED_OUT_OF_DOCK
0x5E6	const_skip 11
0x5F1	EVENT_BEAT_SS_ANNE_8_TRAINER_0
0x5F2	EVENT_BEAT_SS_ANNE_8_TRAINER_1
0x5F3	EVENT_BEAT_SS_ANNE_8_TRAINER_2
0x5F4	EVENT_BEAT_SS_ANNE_8_TRAINER_3
0x5F5	const_skip 12
0x601	EVENT_BEAT_SS_ANNE_9_TRAINER_0
0x602	EVENT_BEAT_SS_ANNE_9_TRAINER_1
0x603	EVENT_BEAT_SS_ANNE_9_TRAINER_2
0x604	EVENT_BEAT_SS_ANNE_9_TRAINER_3
0x605	const_skip 12
0x611	EVENT_BEAT_SS_ANNE_10_TRAINER_0
0x612	EVENT_BEAT_SS_ANNE_10_TRAINER_1
0x613	EVENT_BEAT_SS_ANNE_10_TRAINER_2
0x614	EVENT_BEAT_SS_ANNE_10_TRAINER_3
0x615	EVENT_BEAT_SS_ANNE_10_TRAINER_4
0x616	EVENT_BEAT_SS_ANNE_10_TRAINER_5

; Victory Road 3F events
 	const_next $660
0x660	EVENT_VICTORY_ROAD_3_BOULDER_ON_SWITCH1
0x661	EVENT_BEAT_VICTORY_ROAD_3_TRAINER_0
0x662	EVENT_BEAT_VICTORY_ROAD_3_TRAINER_1
0x663	EVENT_BEAT_VICTORY_ROAD_3_TRAINER_2
0x664	EVENT_BEAT_VICTORY_ROAD_3_TRAINER_3
0x665	const_skip
0x666	EVENT_VICTORY_ROAD_3_BOULDER_ON_SWITCH2

; Rocket Hideout events
 	const_next $670
0x670	const_skip
0x671	EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_0
0x672	EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_1
0x673	EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_2
0x674	EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_3
0x675	EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_4
0x676	const_skip
0x677	EVENT_677 ; ???
0x678	const_skip 7
0x67F	EVENT_67F ; ???
0x680	const_skip
0x681	EVENT_BEAT_ROCKET_HIDEOUT_2_TRAINER_0
0x682	const_skip 15
0x691	EVENT_BEAT_ROCKET_HIDEOUT_3_TRAINER_0
0x692	EVENT_BEAT_ROCKET_HIDEOUT_3_TRAINER_1
0x693	const_skip 15
0x6A2	EVENT_BEAT_ROCKET_HIDEOUT_4_TRAINER_0
0x6A3	EVENT_BEAT_ROCKET_HIDEOUT_4_TRAINER_1
0x6A4	EVENT_BEAT_ROCKET_HIDEOUT_4_TRAINER_2
0x6A5	EVENT_ROCKET_HIDEOUT_4_DOOR_UNLOCKED
0x6A6	EVENT_ROCKET_DROPPED_LIFT_KEY
0x6A7	EVENT_BEAT_ROCKET_HIDEOUT_GIOVANNI

; Silph Co. events
 	const_next $6F0
0x6F0	const_skip 2
0x6F2	EVENT_BEAT_SILPH_CO_2F_TRAINER_0
0x6F3	EVENT_BEAT_SILPH_CO_2F_TRAINER_1
0x6F4	EVENT_BEAT_SILPH_CO_2F_TRAINER_2
0x6F5	EVENT_BEAT_SILPH_CO_2F_TRAINER_3
0x6F6	const_skip 7
0x6FD	EVENT_SILPH_CO_2_UNLOCKED_DOOR1
0x6FE	EVENT_SILPH_CO_2_UNLOCKED_DOOR2
0x6FF	EVENT_GOT_TM36
0x700	const_skip 2
0x702	EVENT_BEAT_SILPH_CO_3F_TRAINER_0
0x703	EVENT_BEAT_SILPH_CO_3F_TRAINER_1
0x704	const_skip 4
0x708	EVENT_SILPH_CO_3_UNLOCKED_DOOR1
0x709	EVENT_SILPH_CO_3_UNLOCKED_DOOR2
0x70A	const_skip 8
0x712	EVENT_BEAT_SILPH_CO_4F_TRAINER_0
0x713	EVENT_BEAT_SILPH_CO_4F_TRAINER_1
0x714	EVENT_BEAT_SILPH_CO_4F_TRAINER_2
0x715	const_skip 3
0x718	EVENT_SILPH_CO_4_UNLOCKED_DOOR1
0x719	EVENT_SILPH_CO_4_UNLOCKED_DOOR2
0x71A	const_skip 8
0x722	EVENT_BEAT_SILPH_CO_5F_TRAINER_0
0x723	EVENT_BEAT_SILPH_CO_5F_TRAINER_1
0x724	EVENT_BEAT_SILPH_CO_5F_TRAINER_2
0x725	EVENT_BEAT_SILPH_CO_5F_TRAINER_3
0x726	const_skip 2
0x728	EVENT_SILPH_CO_5_UNLOCKED_DOOR1
0x729	EVENT_SILPH_CO_5_UNLOCKED_DOOR2
0x72A	EVENT_SILPH_CO_5_UNLOCKED_DOOR3
0x72B	const_skip 11
0x736	EVENT_BEAT_SILPH_CO_6F_TRAINER_0
0x737	EVENT_BEAT_SILPH_CO_6F_TRAINER_1
0x738	EVENT_BEAT_SILPH_CO_6F_TRAINER_2
0x739	const_skip 6
0x73F	EVENT_SILPH_CO_6_UNLOCKED_DOOR
0x740	EVENT_BEAT_SILPH_CO_RIVAL
0x741	const_skip 4
0x745	EVENT_BEAT_SILPH_CO_7F_TRAINER_0
0x746	EVENT_BEAT_SILPH_CO_7F_TRAINER_1
0x747	EVENT_BEAT_SILPH_CO_7F_TRAINER_2
0x748	EVENT_BEAT_SILPH_CO_7F_TRAINER_3
0x749	const_skip 3
0x74C	EVENT_SILPH_CO_7_UNLOCKED_DOOR1
0x74D	EVENT_SILPH_CO_7_UNLOCKED_DOOR2
0x74E	EVENT_SILPH_CO_7_UNLOCKED_DOOR3
0x74F	const_skip 3
0x752	EVENT_BEAT_SILPH_CO_8F_TRAINER_0
0x753	EVENT_BEAT_SILPH_CO_8F_TRAINER_1
0x754	EVENT_BEAT_SILPH_CO_8F_TRAINER_2
0x755	const_skip 3
0x758	EVENT_SILPH_CO_8_UNLOCKED_DOOR
0x759	const_skip 9
0x762	EVENT_BEAT_SILPH_CO_9F_TRAINER_0
0x763	EVENT_BEAT_SILPH_CO_9F_TRAINER_1
0x764	EVENT_BEAT_SILPH_CO_9F_TRAINER_2
0x765	const_skip 3
0x768	EVENT_SILPH_CO_9_UNLOCKED_DOOR1
0x769	EVENT_SILPH_CO_9_UNLOCKED_DOOR2
0x76A	EVENT_SILPH_CO_9_UNLOCKED_DOOR3
0x76B	EVENT_SILPH_CO_9_UNLOCKED_DOOR4
0x76C	const_skip 5
0x771	EVENT_BEAT_SILPH_CO_10F_TRAINER_0
0x772	EVENT_BEAT_SILPH_CO_10F_TRAINER_1
0x773	const_skip 5
0x778	EVENT_SILPH_CO_10_UNLOCKED_DOOR
0x779	const_skip 11
0x784	EVENT_BEAT_SILPH_CO_11F_TRAINER_0
0x785	EVENT_BEAT_SILPH_CO_11F_TRAINER_1
0x786	const_skip 2
0x788	EVENT_SILPH_CO_11_UNLOCKED_DOOR
0x789	const_skip 4
0x78D	EVENT_GOT_MASTER_BALL
0x78E	const_skip
0x78F	EVENT_BEAT_SILPH_CO_GIOVANNI

; Pokémon Mansion events
 	const_next $800
0x800	const_skip
0x801	EVENT_BEAT_MANSION_2_TRAINER_0
0x802	const_skip 15
0x811	EVENT_BEAT_MANSION_3_TRAINER_0
0x812	EVENT_BEAT_MANSION_3_TRAINER_1
0x813	const_skip 14
0x821	EVENT_BEAT_MANSION_4_TRAINER_0
0x822	EVENT_BEAT_MANSION_4_TRAINER_1

; Safari Zone events
 	const_next $880
0x880	EVENT_GOT_HM03

; Cerulean Cave events
 	const_next $8C0
0x8C0	const_skip
0x8C1	EVENT_BEAT_MEWTWO

; Indigo Plateau events
 	const_next $8E0
0x8E0	ELITE4_EVENTS_START
0x8E1	EVENT_BEAT_LORELEIS_ROOM_TRAINER_0
0x8E2	const_skip 4
0x8E6	EVENT_AUTOWALKED_INTO_LORELEIS_ROOM
0x8E7	const_skip 2
0x8E9	EVENT_BEAT_BRUNOS_ROOM_TRAINER_0
0x8EA	const_skip 4
0x8EE	EVENT_AUTOWALKED_INTO_BRUNOS_ROOM
0x8EF	const_skip 2
0x8F1	EVENT_BEAT_AGATHAS_ROOM_TRAINER_0
0x8F2	const_skip 4
0x8F6	EVENT_AUTOWALKED_INTO_AGATHAS_ROOM
0x8F7	const_skip 2
0x8F9	EVENT_BEAT_LANCES_ROOM_TRAINER_0
0x8FA	const_skip 4
0x8FE	EVENT_BEAT_LANCE
0x8FF	EVENT_LANCES_ROOM_LOCK_DOOR
0x900	const_skip
0x901	EVENT_BEAT_CHAMPION_RIVAL
0x902	const_skip 5
0x907	ELITE4_CHAMPION_EVENTS_END

; Victory Road 1F events
 	const_next $910
0x910	const_skip
0x911	EVENT_BEAT_VICTORY_ROAD_1_TRAINER_0
0x912	EVENT_BEAT_VICTORY_ROAD_1_TRAINER_1
0x913	const_skip 4
0x917	EVENT_VICTORY_ROAD_1_BOULDER_ON_SWITCH

; Rock Tunnel events
 	const_next $9B0
0x9B0	const_skip
0x9B1	EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_0
0x9B2	EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_1
0x9B3	EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_2
0x9B4	EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_3
0x9B5	EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_4
0x9B6	EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_5
0x9B7	EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_6
0x9B8	EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_7

; Seafoam Islands events
 	const_next $9C0
0x9C0	EVENT_SEAFOAM2_BOULDER1_DOWN_HOLE
0x9C1	EVENT_SEAFOAM2_BOULDER2_DOWN_HOLE
0x9C2	const_skip 6
0x9C8	EVENT_SEAFOAM3_BOULDER1_DOWN_HOLE
0x9C9	EVENT_SEAFOAM3_BOULDER2_DOWN_HOLE
0x9CA	const_skip 6
0x9D0	EVENT_SEAFOAM4_BOULDER1_DOWN_HOLE
0x9D1	EVENT_SEAFOAM4_BOULDER2_DOWN_HOLE
0x9D2	const_skip 8
0x9DA	EVENT_BEAT_ARTICUNO

; End of events
 	const_next $A00
0xA00	NUM_EVENTS

